id,prediction
747_0_0,0
747_0_16,0
747_0_32,0
747_0_48,0
747_0_64,0
747_0_80,0
747_0_96,0
747_0_112,0
747_0_128,0
747_0_144,0
747_0_160,0
747_0_176,0
747_0_192,0
747_0_208,0
747_0_224,0
747_0_240,0
747_0_256,0
747_0_272,0
747_0_288,0
747_0_304,0
747_0_320,0
747_0_336,0
747_0_352,0
747_0_368,0
747_0_384,0
747_0_400,0
747_0_416,0
747_0_432,0
747_0_448,0
747_0_464,0
747_0_480,0
747_0_496,0
747_0_512,0
747_0_528,0
747_0_544,0
747_0_560,0
747_0_576,0
747_0_592,0
747_16_0,0
747_16_16,0
747_16_32,0
747_16_48,0
747_16_64,0
747_16_80,0
747_16_96,0
747_16_112,0
747_16_128,0
747_16_144,0
747_16_160,0
747_16_176,0
747_16_192,0
747_16_208,0
747_16_224,0
747_16_240,0
747_16_256,0
747_16_272,0
747_16_288,0
747_16_304,0
747_16_320,0
747_16_336,0
747_16_352,0
747_16_368,0
747_16_384,0
747_16_400,0
747_16_416,0
747_16_432,0
747_16_448,0
747_16_464,0
747_16_480,0
747_16_496,0
747_16_512,0
747_16_528,0
747_16_544,0
747_16_560,0
747_16_576,0
747_16_592,0
747_32_0,0
747_32_16,0
747_32_32,0
747_32_48,0
747_32_64,0
747_32_80,0
747_32_96,0
747_32_112,0
747_32_128,0
747_32_144,0
747_32_160,0
747_32_176,0
747_32_192,0
747_32_208,0
747_32_224,0
747_32_240,0
747_32_256,0
747_32_272,0
747_32_288,0
747_32_304,0
747_32_320,0
747_32_336,0
747_32_352,0
747_32_368,0
747_32_384,0
747_32_400,0
747_32_416,0
747_32_432,0
747_32_448,0
747_32_464,0
747_32_480,0
747_32_496,0
747_32_512,0
747_32_528,0
747_32_544,0
747_32_560,0
747_32_576,0
747_32_592,0
747_48_0,0
747_48_16,0
747_48_32,0
747_48_48,0
747_48_64,0
747_48_80,0
747_48_96,0
747_48_112,0
747_48_128,0
747_48_144,0
747_48_160,0
747_48_176,0
747_48_192,0
747_48_208,0
747_48_224,0
747_48_240,0
747_48_256,0
747_48_272,0
747_48_288,0
747_48_304,0
747_48_320,0
747_48_336,0
747_48_352,0
747_48_368,0
747_48_384,0
747_48_400,0
747_48_416,0
747_48_432,0
747_48_448,0
747_48_464,0
747_48_480,0
747_48_496,0
747_48_512,1
747_48_528,0
747_48_544,0
747_48_560,0
747_48_576,0
747_48_592,0
747_64_0,0
747_64_16,0
747_64_32,0
747_64_48,0
747_64_64,0
747_64_80,0
747_64_96,0
747_64_112,0
747_64_128,0
747_64_144,0
747_64_160,0
747_64_176,0
747_64_192,0
747_64_208,0
747_64_224,0
747_64_240,0
747_64_256,0
747_64_272,0
747_64_288,0
747_64_304,0
747_64_320,0
747_64_336,0
747_64_352,0
747_64_368,0
747_64_384,0
747_64_400,0
747_64_416,0
747_64_432,0
747_64_448,0
747_64_464,0
747_64_480,0
747_64_496,1
747_64_512,1
747_64_528,1
747_64_544,0
747_64_560,0
747_64_576,0
747_64_592,0
747_80_0,0
747_80_16,0
747_80_32,0
747_80_48,0
747_80_64,0
747_80_80,0
747_80_96,0
747_80_112,0
747_80_128,0
747_80_144,0
747_80_160,0
747_80_176,0
747_80_192,0
747_80_208,0
747_80_224,0
747_80_240,0
747_80_256,0
747_80_272,0
747_80_288,0
747_80_304,0
747_80_320,0
747_80_336,0
747_80_352,0
747_80_368,0
747_80_384,0
747_80_400,0
747_80_416,0
747_80_432,0
747_80_448,0
747_80_464,0
747_80_480,1
747_80_496,1
747_80_512,1
747_80_528,0
747_80_544,0
747_80_560,0
747_80_576,0
747_80_592,0
747_96_0,0
747_96_16,0
747_96_32,0
747_96_48,0
747_96_64,0
747_96_80,0
747_96_96,0
747_96_112,0
747_96_128,0
747_96_144,0
747_96_160,0
747_96_176,0
747_96_192,0
747_96_208,0
747_96_224,0
747_96_240,0
747_96_256,0
747_96_272,0
747_96_288,0
747_96_304,0
747_96_320,0
747_96_336,0
747_96_352,0
747_96_368,0
747_96_384,0
747_96_400,0
747_96_416,0
747_96_432,0
747_96_448,0
747_96_464,0
747_96_480,0
747_96_496,0
747_96_512,1
747_96_528,1
747_96_544,0
747_96_560,0
747_96_576,0
747_96_592,0
747_112_0,0
747_112_16,0
747_112_32,0
747_112_48,0
747_112_64,0
747_112_80,0
747_112_96,0
747_112_112,0
747_112_128,0
747_112_144,0
747_112_160,0
747_112_176,0
747_112_192,0
747_112_208,0
747_112_224,0
747_112_240,0
747_112_256,0
747_112_272,0
747_112_288,0
747_112_304,0
747_112_320,0
747_112_336,0
747_112_352,0
747_112_368,0
747_112_384,0
747_112_400,0
747_112_416,1
747_112_432,0
747_112_448,0
747_112_464,0
747_112_480,0
747_112_496,0
747_112_512,0
747_112_528,1
747_112_544,0
747_112_560,0
747_112_576,0
747_112_592,0
747_128_0,0
747_128_16,0
747_128_32,0
747_128_48,0
747_128_64,0
747_128_80,0
747_128_96,0
747_128_112,0
747_128_128,0
747_128_144,0
747_128_160,0
747_128_176,0
747_128_192,0
747_128_208,0
747_128_224,0
747_128_240,0
747_128_256,0
747_128_272,0
747_128_288,0
747_128_304,0
747_128_320,0
747_128_336,0
747_128_352,0
747_128_368,0
747_128_384,0
747_128_400,0
747_128_416,0
747_128_432,0
747_128_448,0
747_128_464,0
747_128_480,0
747_128_496,0
747_128_512,0
747_128_528,0
747_128_544,0
747_128_560,0
747_128_576,0
747_128_592,0
747_144_0,0
747_144_16,0
747_144_32,0
747_144_48,0
747_144_64,0
747_144_80,0
747_144_96,0
747_144_112,0
747_144_128,0
747_144_144,0
747_144_160,0
747_144_176,0
747_144_192,0
747_144_208,0
747_144_224,0
747_144_240,0
747_144_256,0
747_144_272,0
747_144_288,0
747_144_304,0
747_144_320,0
747_144_336,0
747_144_352,0
747_144_368,0
747_144_384,0
747_144_400,0
747_144_416,0
747_144_432,0
747_144_448,0
747_144_464,0
747_144_480,0
747_144_496,0
747_144_512,0
747_144_528,0
747_144_544,0
747_144_560,0
747_144_576,0
747_144_592,0
747_160_0,0
747_160_16,0
747_160_32,0
747_160_48,0
747_160_64,0
747_160_80,0
747_160_96,0
747_160_112,0
747_160_128,0
747_160_144,0
747_160_160,0
747_160_176,0
747_160_192,0
747_160_208,0
747_160_224,0
747_160_240,0
747_160_256,0
747_160_272,0
747_160_288,0
747_160_304,0
747_160_320,0
747_160_336,0
747_160_352,0
747_160_368,0
747_160_384,0
747_160_400,0
747_160_416,0
747_160_432,0
747_160_448,0
747_160_464,0
747_160_480,0
747_160_496,0
747_160_512,0
747_160_528,0
747_160_544,0
747_160_560,0
747_160_576,0
747_160_592,0
747_176_0,0
747_176_16,0
747_176_32,0
747_176_48,0
747_176_64,0
747_176_80,0
747_176_96,0
747_176_112,0
747_176_128,0
747_176_144,0
747_176_160,0
747_176_176,0
747_176_192,0
747_176_208,0
747_176_224,0
747_176_240,0
747_176_256,0
747_176_272,0
747_176_288,0
747_176_304,0
747_176_320,0
747_176_336,0
747_176_352,0
747_176_368,0
747_176_384,0
747_176_400,0
747_176_416,0
747_176_432,0
747_176_448,0
747_176_464,0
747_176_480,0
747_176_496,0
747_176_512,0
747_176_528,0
747_176_544,0
747_176_560,0
747_176_576,0
747_176_592,0
747_192_0,0
747_192_16,0
747_192_32,0
747_192_48,0
747_192_64,0
747_192_80,0
747_192_96,0
747_192_112,0
747_192_128,0
747_192_144,0
747_192_160,0
747_192_176,0
747_192_192,0
747_192_208,0
747_192_224,0
747_192_240,0
747_192_256,0
747_192_272,0
747_192_288,0
747_192_304,0
747_192_320,0
747_192_336,0
747_192_352,0
747_192_368,0
747_192_384,0
747_192_400,0
747_192_416,0
747_192_432,0
747_192_448,0
747_192_464,0
747_192_480,0
747_192_496,0
747_192_512,0
747_192_528,0
747_192_544,0
747_192_560,0
747_192_576,0
747_192_592,0
747_208_0,0
747_208_16,0
747_208_32,0
747_208_48,0
747_208_64,0
747_208_80,0
747_208_96,0
747_208_112,0
747_208_128,0
747_208_144,0
747_208_160,0
747_208_176,0
747_208_192,0
747_208_208,0
747_208_224,0
747_208_240,0
747_208_256,0
747_208_272,0
747_208_288,0
747_208_304,0
747_208_320,0
747_208_336,0
747_208_352,0
747_208_368,0
747_208_384,0
747_208_400,0
747_208_416,0
747_208_432,0
747_208_448,0
747_208_464,0
747_208_480,0
747_208_496,0
747_208_512,0
747_208_528,0
747_208_544,0
747_208_560,0
747_208_576,0
747_208_592,0
747_224_0,0
747_224_16,0
747_224_32,0
747_224_48,0
747_224_64,0
747_224_80,0
747_224_96,0
747_224_112,0
747_224_128,0
747_224_144,0
747_224_160,0
747_224_176,0
747_224_192,0
747_224_208,0
747_224_224,0
747_224_240,0
747_224_256,0
747_224_272,0
747_224_288,0
747_224_304,0
747_224_320,0
747_224_336,0
747_224_352,0
747_224_368,0
747_224_384,0
747_224_400,1
747_224_416,1
747_224_432,1
747_224_448,1
747_224_464,0
747_224_480,0
747_224_496,0
747_224_512,0
747_224_528,0
747_224_544,0
747_224_560,0
747_224_576,0
747_224_592,0
747_240_0,0
747_240_16,0
747_240_32,0
747_240_48,0
747_240_64,0
747_240_80,0
747_240_96,0
747_240_112,0
747_240_128,0
747_240_144,0
747_240_160,0
747_240_176,0
747_240_192,0
747_240_208,0
747_240_224,0
747_240_240,0
747_240_256,0
747_240_272,0
747_240_288,0
747_240_304,0
747_240_320,0
747_240_336,0
747_240_352,0
747_240_368,0
747_240_384,0
747_240_400,1
747_240_416,1
747_240_432,1
747_240_448,1
747_240_464,0
747_240_480,0
747_240_496,0
747_240_512,0
747_240_528,0
747_240_544,0
747_240_560,0
747_240_576,0
747_240_592,0
747_256_0,0
747_256_16,0
747_256_32,0
747_256_48,0
747_256_64,0
747_256_80,0
747_256_96,0
747_256_112,0
747_256_128,0
747_256_144,0
747_256_160,0
747_256_176,0
747_256_192,0
747_256_208,0
747_256_224,0
747_256_240,0
747_256_256,0
747_256_272,0
747_256_288,0
747_256_304,0
747_256_320,1
